name	z	m_V
1997aj	0.58099997	22.5634232
1997ai	0.449999988	22.3319931
1997af	0.578999996	23.6863632
1997ac	0.319999993	21.7446022
1997r	0.657000005	23.4752502
1997q	0.430000007	22.2661362
1997p	0.472000003	22.469162
1997o	0.374000013	23.6851158
1997n	0.180000007	20.689518
1997l	0.550000012	24.8434677
1997k	0.592000008	24.6523552
1997i	0.172000006	19.802227
1997h	0.526000023	22.4560814
1997g	0.763000011	24.9724236
1997f	0.579999983	23.8051262
1996cn	0.430000007	22.3019371
1996cm	0.449999988	22.7709732
1996ck	0.656000018	23.6448593
1996ci	0.495000005	22.6189079
1996cg	0.49000001	22.2874336
1996cf	0.569999993	23.1714668
1995ba	0.388000011	22.7076149
1995az	0.449999988	22.9024467
1995ay	0.479999989	22.6599503
1995ax	0.61500001	23.0426369
1995aw	0.400000006	22.812767
1995at	0.654999971	22.8150864
1995as	0.497999996	23.4837189
1995ar	0.465000004	22.3251648
1995aq	0.453000009	23.321209
1994g	0.425000012	21.7021294
2002ad	0.513999999	23.2861938
2002ab	0.423000008	22.0655251
2002x	0.859000027	24.5929031
2001kd	0.93599999	23.807106
2001jp	0.527999997	22.9543495
2001jm	0.977999985	24.0000725
2001jh	0.88499999	24.6843338
2001jf	0.814999998	24.5744019
2001jb	0.698000014	24.2687302
2001iy	0.568000019	23.2092514
2001ix	0.711000025	24.0665512
2001iw	0.339599997	21.5839729
2001iv	0.396499991	21.9879227
2001hy	0.811999977	24.1535721
2001hx	0.799000025	23.87883
2001hu	0.882000029	23.8750381
2001hs	0.833000004	24.1880989
2001fs	0.874000013	23.7953796
2001fo	0.772000015	24.0099945
1999dr	0.178000003	19.954792
1999du	0.25999999	21.3233643
1999dv	0.186000004	20.2121696
1999dx	0.268999994	21.2761612
1999dy	0.215000004	20.8780594
2000fr	0.542999983	22.9788055
1998bi	0.75	23.743
1998be	0.639999986	23.2642479
1998ba	0.430000007	22.684124
1998ay	0.639999986	23.6643791
1998ax	0.497000009	22.8245544
1998aw	0.439999998	22.5106468
1998as	0.354999989	21.8423119
1997ez	0.779999971	24.1008072
1997eq	0.540000021	22.9246216
1997ek	0.860000014	24.4216614
03D4au	0.467999995	23.0489044
04D4bk	0.839999974	24.3731041
04D3nr	0.959999979	24.1132126
04D3lu	0.821799994	24.3153648
04D3ki	0.930000007	24.0524292
04D3gt	0.451000005	22.2966728
04D3do	0.610000014	23.4049644
04D3cp	0.829999983	24.5506592
04D2gp	0.707000017	23.7824249
04D2fp	0.414999992	22.37677
04D1ag	0.556999981	23.0570107
03D4fd	0.791000009	24.0768814
03D4cz	0.694999993	23.7117043
03D4at	0.633000016	23.5498619
03D3bh	0.248600006	21.111187
03D3af	0.532000005	23.065815
03D1fc	0.331	21.5784683
03D1bp	0.345999986	21.8646278
04D4dw	0.961000025	24.7642021
04D4an	0.612999976	23.4937248
04D3nh	0.340200007	21.8280907
04D3lp	0.98299998	24.6572838
04D3is	0.709999979	23.5220375
04D3fq	0.730000019	23.7769966
04D3df	0.469999999	22.6345596
04D3co	0.620000005	23.5092545
04D2gc	0.521000028	22.68013
04D2cf	0.368999988	22.1340218
03D4gl	0.57099998	22.8991623
03D4dy	0.603999972	23.0269775
03D4cy	0.927100003	24.4404984
03D4ag	0.284999996	21.3542442
03D3ba	0.291200012	21.3390656
03D1gt	0.547999978	22.796299
03D1ew	0.867999971	23.9932861
03D1ax	0.495999992	22.7146759
04D4dm	0.81099999	23.9045372
04D3oe	0.755999982	24.3139915
04D3nc	0.816999972	24.1515656
04D3ks	0.751999974	23.8018303
04D3hn	0.551599979	22.8031845
04D3fk	0.357800007	21.9349098
04D3dd	1.00999999	24.5124741
04D2ja	0.740999997	24.2172508
04D2gb	0.430000007	22.3109207
04D1ak	0.526000023	22.9002113
03D4gg	0.592000008	23.0773239
03D4di	0.904999971	24.1387405
03D4cx	0.949000001	23.9449081
03D3cd	0.460700005	22.5716667
03D3ay	0.370900005	22.1692047
03D1fq	0.800000012	24.2140617
03D1co	0.67900002	23.9574051
03D1aw	0.581700027	23.172039
04D4bq	0.550000012	22.7756462
04D3ny	0.810000002	23.8698921
04D3ml	0.949999988	24.4766083
04D3kr	0.337300003	21.7944908
